date;banque;indicateur;pays;iso;valeur;activité filiale
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;BNP Paribas Cadiz Securities;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;BNP Paribas Cadiz Stockbroking;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;BNP Paribas SA (succ. Afrique du Sud);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Cards Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Collections Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Home Loans Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Investment Holdings Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Algérie;DZ;BNP Paribas ElDjazair;Europe Méditerranée
2014-12-31;BNP;FILIALES;Algérie;DZ;Cetelem Algérie;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Arval Deutschland GmbH;Arval
2014-12-31;BNP;FILIALES;Allemagne;DE;Cardif Assurance Vie (succ. Allemagne);Assurance
2014-12-31;BNP;FILIALES;Allemagne;DE;Cardif Assurances Risques Divers (succ. Allemagne);Assurance
2014-12-31;BNP;FILIALES;Allemagne;DE;BGL BNP Paribas (succ. Allemagne);Banque de détail
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Factor GmbH;Banque de détail
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Emission und Handel. GmbH;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Fortis (succ. Allemagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas SA (succ. Allemagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Investment Partners Belgium (succ. Allemagne);Investment
2014-12-31;BNP;FILIALES;Allemagne;DE;All in One Vermietungsgesellschaft für Telekommunicationsanlagen mbH;Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Lease Group BPLG (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;Claas Financial Services (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;CNH Industrial Capital Europe (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;Fortis Lease Deutschland GmbH;Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;JCB Finance (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;Commerz Finanz;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Gesellschaft für Capital & Vermögensverwaltung Gmbh (GCV);Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Inkasso Kodat Gmbh & Co KG;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Von Essen GmbH & Co. KG Bankgesellschaft;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Beteiligungsholding AG;Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;DE;Cortal Consors (succ. Allemagne);Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;DE;DAB Bank AG;Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Securities Services - BP2S (succ. Allemagne) ;Securities Services
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate Consult GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate Holding GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate Investment Management Germany GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate property Management GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Arabie Saoudite;SA;BNP Paribas Investment Company KSA;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Arabie Saoudite;SA;BNP Paribas SA (succ. Arabie Saoudite);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Argentine;AR;Cardif Seguros SA;Assurance
2014-12-31;BNP;FILIALES;Argentine;AR;BNP Paribas SA (succ. Argentine);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Argentine;AR;BNP Paribas investment Partners Argentina SA;Investment
2014-12-31;BNP;FILIALES;Argentine;AR;Banco Cetelem Argentina SA;Personal Finance
2014-12-31;BNP;FILIALES;Argentine;AR;Banco de Servicios Financieros SA;Personal Finance
2014-12-31;BNP;FILIALES;Argentine;AR;Fideicomiso Financiero Cetelem II, III et IV;Personal Finance
2014-12-31;BNP;FILIALES;Australie;AU;BNP Pacific (Australia) Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Australie;AU;BNP Paribas SA (succ. Australie);Corporate and Investment Banking
