date;banque;indicateur;reecriture;valeur
2015-12-31;BNP;Produit Net Bancaire;Allemagne;13560000000
2015-12-31;BNP;Resultat avant impot;Allemagne;4230000000
2015-12-31;BNP;impot courant;Allemagne;-700000000
2015-12-31;BNP;impot différé;Allemagne;-390000000
2015-12-31;BNP;impot sur bénéfice;Allemagne;-1090000000
2015-12-31;BNP;Effectif;Allemagne;4496
2015-12-31;BNP;resultats/effectifs;Allemagne;940836
2015-12-31;BNP;resultats/pnb;Allemagne;0.311947
2015-12-31;BNP;Produit Net Bancaire;Autriche;400000000
2015-12-31;BNP;Resultat avant impot;Autriche;-30000000
2015-12-31;BNP;impot courant;Autriche;-20000000
2015-12-31;BNP;impot différé;Autriche;20000000
2015-12-31;BNP;Effectif;Autriche;181
2015-12-31;BNP;resultats/effectifs;Autriche;-165746
2015-12-31;BNP;resultats/pnb;Autriche;-0.075
2015-12-31;BNP;Produit Net Bancaire;Belgique;47420000000
2015-12-31;BNP;Resultat avant impot;Belgique;17100000000
2015-12-31;BNP;impot courant;Belgique;-860000000
2015-12-31;BNP;impot différé;Belgique;-4730000000
2015-12-31;BNP;impot sur bénéfice;Belgique;-5590000000
2015-12-31;BNP;Effectif;Belgique;16283
2015-12-31;BNP;resultats/effectifs;Belgique;1.05018e+06
2015-12-31;BNP;resultats/pnb;Belgique;0.360607
2015-12-31;BNP;Produit Net Bancaire;Bulgarie;520000000
2015-12-31;BNP;Resultat avant impot;Bulgarie;150000000
2015-12-31;BNP;impot courant;Bulgarie;-20000000
2015-12-31;BNP;impot sur bénéfice;Bulgarie;-20000000
2015-12-31;BNP;Effectif;Bulgarie;1080
2015-12-31;BNP;resultats/effectifs;Bulgarie;138889
2015-12-31;BNP;resultats/pnb;Bulgarie;0.288462
2015-12-31;BNP;Produit Net Bancaire;Danemark;590000000
2015-12-31;BNP;Resultat avant impot;Danemark;150000000
2015-12-31;BNP;impot courant;Danemark;-50000000
2015-12-31;BNP;impot sur bénéfice;Danemark;-50000000
2015-12-31;BNP;Effectif;Danemark;151
2015-12-31;BNP;resultats/effectifs;Danemark;993377
2015-12-31;BNP;resultats/pnb;Danemark;0.254237
2015-12-31;BNP;Produit Net Bancaire;Espagne;8180000000
2015-12-31;BNP;Resultat avant impot;Espagne;4610000000
2015-12-31;BNP;impot courant;Espagne;-730000000
2015-12-31;BNP;impot différé;Espagne;-590000000
2015-12-31;BNP;impot sur bénéfice;Espagne;-1320000000
2015-12-31;BNP;Effectif;Espagne;2479
2015-12-31;BNP;resultats/effectifs;Espagne;1.85962e+06
2015-12-31;BNP;resultats/pnb;Espagne;0.56357
2015-12-31;BNP;Produit Net Bancaire;Finlande;50000000
2015-12-31;BNP;Resultat avant impot;Finlande;-30000000
2015-12-31;BNP;Effectif;Finlande;30
2015-12-31;BNP;resultats/effectifs;Finlande;-1000000
2015-12-31;BNP;resultats/pnb;Finlande;-0.6
2015-12-31;BNP;Produit Net Bancaire;France;143050000000
2015-12-31;BNP;Resultat avant impot;France;19450000000
2015-12-31;BNP;impot courant;France;-7660000000
2015-12-31;BNP;impot différé;France;-4120000000
2015-12-31;BNP;impot sur bénéfice;France;-11780000000
2015-12-31;BNP;Effectif;France;56981
2015-12-31;BNP;resultats/effectifs;France;341342
2015-12-31;BNP;resultats/pnb;France;0.135966
2015-12-31;BNP;Produit Net Bancaire;Grèce;30000000
2015-12-31;BNP;Effectif;Grèce;24
2015-12-31;BNP;Produit Net Bancaire;Hongrie;980000000
2015-12-31;BNP;Resultat avant impot;Hongrie;350000000
2015-12-31;BNP;impot courant;Hongrie;-80000000
2015-12-31;BNP;impot différé;Hongrie;-10000000
2015-12-31;BNP;impot sur bénéfice;Hongrie;-90000000
2015-12-31;BNP;Effectif;Hongrie;507
2015-12-31;BNP;resultats/effectifs;Hongrie;690335
2015-12-31;BNP;resultats/pnb;Hongrie;0.357143
2015-12-31;BNP;Produit Net Bancaire;Irlande;2900000000
2015-12-31;BNP;Resultat avant impot;Irlande;1640000000
2015-12-31;BNP;impot courant;Irlande;-130000000
2015-12-31;BNP;impot différé;Irlande;-20000000
2015-12-31;BNP;impot sur bénéfice;Irlande;-150000000
2015-12-31;BNP;Effectif;Irlande;470
2015-12-31;BNP;resultats/effectifs;Irlande;3.48936e+06
2015-12-31;BNP;resultats/pnb;Irlande;0.565517
2015-12-31;BNP;Produit Net Bancaire;Italie;49500000000
2015-12-31;BNP;Resultat avant impot;Italie;7190000000
2015-12-31;BNP;impot courant;Italie;-3260000000
2015-12-31;BNP;impot différé;Italie;890000000
2015-12-31;BNP;impot sur bénéfice;Italie;-2370000000
2015-12-31;BNP;Effectif;Italie;17973
2015-12-31;BNP;resultats/effectifs;Italie;400045
2015-12-31;BNP;resultats/pnb;Italie;0.145253
2015-12-31;BNP;Produit Net Bancaire;Luxembourg;12080000000
2015-12-31;BNP;Resultat avant impot;Luxembourg;6650000000
2015-12-31;BNP;impot courant;Luxembourg;-1180000000
2015-12-31;BNP;impot différé;Luxembourg;70000000
2015-12-31;BNP;impot sur bénéfice;Luxembourg;-1110000000
2015-12-31;BNP;Effectif;Luxembourg;3609
2015-12-31;BNP;resultats/effectifs;Luxembourg;1.84262e+06
2015-12-31;BNP;resultats/pnb;Luxembourg;0.550497
2015-12-31;BNP;Produit Net Bancaire;Pays-Bas;3710000000
2015-12-31;BNP;Resultat avant impot;Pays-Bas;1510000000
2015-12-31;BNP;impot courant;Pays-Bas;-500000000
2015-12-31;BNP;impot différé;Pays-Bas;-130000000
2015-12-31;BNP;impot sur bénéfice;Pays-Bas;-630000000
2015-12-31;BNP;Effectif;Pays-Bas;988
2015-12-31;BNP;resultats/effectifs;Pays-Bas;1.52834e+06
2015-12-31;BNP;resultats/pnb;Pays-Bas;0.407008
2015-12-31;BNP;Produit Net Bancaire;Pologne;6420000000
2015-12-31;BNP;Resultat avant impot;Pologne;150000000
2015-12-31;BNP;impot courant;Pologne;-150000000
2015-12-31;BNP;impot différé;Pologne;80000000
2015-12-31;BNP;impot sur bénéfice;Pologne;-70000000
2015-12-31;BNP;Effectif;Pologne;8725
2015-12-31;BNP;resultats/effectifs;Pologne;17192
2015-12-31;BNP;resultats/pnb;Pologne;0.0233645
2015-12-31;BNP;Produit Net Bancaire;Portugal;1580000000
2015-12-31;BNP;Resultat avant impot;Portugal;760000000
2015-12-31;BNP;impot courant;Portugal;-220000000
2015-12-31;BNP;impot différé;Portugal;30000000
2015-12-31;BNP;impot sur bénéfice;Portugal;-190000000
2015-12-31;BNP;Effectif;Portugal;1749
2015-12-31;BNP;resultats/effectifs;Portugal;434534
2015-12-31;BNP;resultats/pnb;Portugal;0.481013
2015-12-31;BNP;Produit Net Bancaire;République Tchèque;1280000000
2015-12-31;BNP;Resultat avant impot;République Tchèque;700000000
2015-12-31;BNP;impot courant;République Tchèque;-130000000
2015-12-31;BNP;impot sur bénéfice;République Tchèque;-130000000
2015-12-31;BNP;Effectif;République Tchèque;629
2015-12-31;BNP;resultats/effectifs;République Tchèque;1.11288e+06
2015-12-31;BNP;resultats/pnb;République Tchèque;0.546875
2015-12-31;BNP;Produit Net Bancaire;Roumanie;510000000
2015-12-31;BNP;Resultat avant impot;Roumanie;130000000
2015-12-31;BNP;impot courant;Roumanie;-30000000
2015-12-31;BNP;impot sur bénéfice;Roumanie;-30000000
2015-12-31;BNP;Effectif;Roumanie;703
2015-12-31;BNP;resultats/effectifs;Roumanie;184922
2015-12-31;BNP;resultats/pnb;Roumanie;0.254902
2015-12-31;BNP;Produit Net Bancaire;Royaume-Uni;25010000000
2015-12-31;BNP;Resultat avant impot;Royaume-Uni;2480000000
2015-12-31;BNP;impot courant;Royaume-Uni;-950000000
2015-12-31;BNP;impot différé;Royaume-Uni;330000000
2015-12-31;BNP;impot sur bénéfice;Royaume-Uni;-620000000
2015-12-31;BNP;Effectif;Royaume-Uni;6624
2015-12-31;BNP;resultats/effectifs;Royaume-Uni;374396
2015-12-31;BNP;resultats/pnb;Royaume-Uni;0.0991603
2015-12-31;BNP;Produit Net Bancaire;Slovaquie;280000000
2015-12-31;BNP;Resultat avant impot;Slovaquie;90000000
2015-12-31;BNP;impot courant;Slovaquie;-40000000
2015-12-31;BNP;impot différé;Slovaquie;20000000
2015-12-31;BNP;impot sur bénéfice;Slovaquie;-20000000
2015-12-31;BNP;Effectif;Slovaquie;170
2015-12-31;BNP;resultats/effectifs;Slovaquie;529412
2015-12-31;BNP;resultats/pnb;Slovaquie;0.321429
2015-12-31;BNP;Produit Net Bancaire;Suède;170000000
2015-12-31;BNP;Resultat avant impot;Suède;-30000000
2015-12-31;BNP;impot différé;Suède;-10000000
2015-12-31;BNP;impot sur bénéfice;Suède;-10000000
2015-12-31;BNP;Effectif;Suède;153
2015-12-31;BNP;resultats/effectifs;Suède;-196078
2015-12-31;BNP;resultats/pnb;Suède;-0.176471
2015-12-31;BNP;Produit Net Bancaire;Guernesey;70000000
2015-12-31;BNP;Effectif;Guernesey;15
2015-12-31;BNP;Produit Net Bancaire;Jersey;490000000
2015-12-31;BNP;Resultat avant impot;Jersey;220000000
2015-12-31;BNP;Effectif;Jersey;221
2015-12-31;BNP;resultats/effectifs;Jersey;995475
2015-12-31;BNP;resultats/pnb;Jersey;0.44898
2015-12-31;BNP;Produit Net Bancaire;Monaco;630000000
2015-12-31;BNP;Resultat avant impot;Monaco;230000000
2015-12-31;BNP;impot différé;Monaco;10000000
2015-12-31;BNP;impot sur bénéfice;Monaco;10000000
2015-12-31;BNP;Effectif;Monaco;201
2015-12-31;BNP;resultats/effectifs;Monaco;1.14428e+06
2015-12-31;BNP;resultats/pnb;Monaco;0.365079
2015-12-31;BNP;Produit Net Bancaire;Norvège;270000000
2015-12-31;BNP;Resultat avant impot;Norvège;-10000000
2015-12-31;BNP;impot courant;Norvège;-20000000
2015-12-31;BNP;impot différé;Norvège;10000000
2015-12-31;BNP;impot sur bénéfice;Norvège;-10000000
2015-12-31;BNP;Effectif;Norvège;87
2015-12-31;BNP;resultats/effectifs;Norvège;-114943
2015-12-31;BNP;resultats/pnb;Norvège;-0.037037
2015-12-31;BNP;Produit Net Bancaire;Russie;830000000
2015-12-31;BNP;Resultat avant impot;Russie;380000000
2015-12-31;BNP;impot courant;Russie;-70000000
2015-12-31;BNP;impot différé;Russie;-30000000
2015-12-31;BNP;impot sur bénéfice;Russie;-100000000
2015-12-31;BNP;Effectif;Russie;351
2015-12-31;BNP;resultats/effectifs;Russie;1.08262e+06
2015-12-31;BNP;resultats/pnb;Russie;0.457831
2015-12-31;BNP;Produit Net Bancaire;Serbie;480000000
2015-12-31;BNP;Resultat avant impot;Serbie;190000000
2015-12-31;BNP;impot courant;Serbie;-20000000
2015-12-31;BNP;impot sur bénéfice;Serbie;-20000000
2015-12-31;BNP;Effectif;Serbie;845
2015-12-31;BNP;resultats/effectifs;Serbie;224852
2015-12-31;BNP;resultats/pnb;Serbie;0.395833
2015-12-31;BNP;Produit Net Bancaire;Suisse;5230000000
2015-12-31;BNP;Resultat avant impot;Suisse;420000000
2015-12-31;BNP;impot courant;Suisse;-470000000
2015-12-31;BNP;impot différé;Suisse;540000000
2015-12-31;BNP;impot sur bénéfice;Suisse;70000000
2015-12-31;BNP;Effectif;Suisse;1385
2015-12-31;BNP;resultats/effectifs;Suisse;303249
2015-12-31;BNP;resultats/pnb;Suisse;0.0803059
2015-12-31;BNP;Produit Net Bancaire;Ukraine;1310000000
2015-12-31;BNP;Resultat avant impot;Ukraine;-180000000
2015-12-31;BNP;Effectif;Ukraine;5433
2015-12-31;BNP;resultats/effectifs;Ukraine;-33130.9
2015-12-31;BNP;resultats/pnb;Ukraine;-0.137405
2015-12-31;BNP;Produit Net Bancaire;Afrique du Sud;1280000000
2015-12-31;BNP;Resultat avant impot;Afrique du Sud;300000000
2015-12-31;BNP;impot courant;Afrique du Sud;-180000000
2015-12-31;BNP;impot différé;Afrique du Sud;90000000
2015-12-31;BNP;impot sur bénéfice;Afrique du Sud;-90000000
2015-12-31;BNP;Effectif;Afrique du Sud;1180
2015-12-31;BNP;resultats/effectifs;Afrique du Sud;254237
2015-12-31;BNP;resultats/pnb;Afrique du Sud;0.234375
2015-12-31;BNP;Produit Net Bancaire;Algérie;1230000000
2015-12-31;BNP;Resultat avant impot;Algérie;520000000
2015-12-31;BNP;impot courant;Algérie;-120000000
2015-12-31;BNP;impot différé;Algérie;-10000000
2015-12-31;BNP;impot sur bénéfice;Algérie;-130000000
2015-12-31;BNP;Effectif;Algérie;1382
2015-12-31;BNP;resultats/effectifs;Algérie;376266
2015-12-31;BNP;resultats/pnb;Algérie;0.422764
2015-12-31;BNP;Produit Net Bancaire;Arabie Saoudite;150000000
2015-12-31;BNP;Resultat avant impot;Arabie Saoudite;-80000000
2015-12-31;BNP;impot courant;Arabie Saoudite;10000000
2015-12-31;BNP;impot sur bénéfice;Arabie Saoudite;10000000
2015-12-31;BNP;Effectif;Arabie Saoudite;37
2015-12-31;BNP;resultats/effectifs;Arabie Saoudite;-2.16216e+06
2015-12-31;BNP;resultats/pnb;Arabie Saoudite;-0.533333
2015-12-31;BNP;Produit Net Bancaire;Bahreïn;750000000
2015-12-31;BNP;Resultat avant impot;Bahreïn;480000000
2015-12-31;BNP;Effectif;Bahreïn;351
2015-12-31;BNP;resultats/effectifs;Bahreïn;1.36752e+06
2015-12-31;BNP;resultats/pnb;Bahreïn;0.64
2015-12-31;BNP;Produit Net Bancaire;Burkina Faso;210000000
2015-12-31;BNP;Resultat avant impot;Burkina Faso;50000000
2015-12-31;BNP;impot courant;Burkina Faso;-10000000
2015-12-31;BNP;impot sur bénéfice;Burkina Faso;-10000000
2015-12-31;BNP;Effectif;Burkina Faso;280
2015-12-31;BNP;resultats/effectifs;Burkina Faso;178571
2015-12-31;BNP;resultats/pnb;Burkina Faso;0.238095
2015-12-31;BNP;Produit Net Bancaire;Côte d'Ivoire;600000000
2015-12-31;BNP;Resultat avant impot;Côte d'Ivoire;170000000
2015-12-31;BNP;impot courant;Côte d'Ivoire;-30000000
2015-12-31;BNP;impot sur bénéfice;Côte d'Ivoire;-30000000
2015-12-31;BNP;Effectif;Côte d'Ivoire;569
2015-12-31;BNP;resultats/effectifs;Côte d'Ivoire;298770
2015-12-31;BNP;resultats/pnb;Côte d'Ivoire;0.283333
2015-12-31;BNP;Produit Net Bancaire;Émirats Arabes Unis;350000000
2015-12-31;BNP;Resultat avant impot;Émirats Arabes Unis;90000000
2015-12-31;BNP;impot courant;Émirats Arabes Unis;40000000
2015-12-31;BNP;impot différé;Émirats Arabes Unis;-10000000
2015-12-31;BNP;impot sur bénéfice;Émirats Arabes Unis;30000000
2015-12-31;BNP;Effectif;Émirats Arabes Unis;83
2015-12-31;BNP;resultats/effectifs;Émirats Arabes Unis;1.08434e+06
2015-12-31;BNP;resultats/pnb;Émirats Arabes Unis;0.257143
2015-12-31;BNP;Produit Net Bancaire;Koweït;80000000
2015-12-31;BNP;Resultat avant impot;Koweït;70000000
2015-12-31;BNP;impot courant;Koweït;-10000000
2015-12-31;BNP;impot sur bénéfice;Koweït;-10000000
2015-12-31;BNP;Effectif;Koweït;23
2015-12-31;BNP;resultats/effectifs;Koweït;3.04348e+06
2015-12-31;BNP;resultats/pnb;Koweït;0.875
2015-12-31;BNP;Produit Net Bancaire;Mali;140000000
2015-12-31;BNP;Resultat avant impot;Mali;40000000
2015-12-31;BNP;impot courant;Mali;-10000000
2015-12-31;BNP;impot sur bénéfice;Mali;-10000000
2015-12-31;BNP;Effectif;Mali;102
2015-12-31;BNP;resultats/effectifs;Mali;392157
2015-12-31;BNP;resultats/pnb;Mali;0.285714
2015-12-31;BNP;Produit Net Bancaire;Maroc;3020000000
2015-12-31;BNP;Resultat avant impot;Maroc;580000000
2015-12-31;BNP;impot courant;Maroc;-230000000
2015-12-31;BNP;impot différé;Maroc;-20000000
2015-12-31;BNP;impot sur bénéfice;Maroc;-250000000
2015-12-31;BNP;Effectif;Maroc;3158
2015-12-31;BNP;resultats/effectifs;Maroc;183661
2015-12-31;BNP;resultats/pnb;Maroc;0.192053
2015-12-31;BNP;Produit Net Bancaire;Qatar;170000000
2015-12-31;BNP;Resultat avant impot;Qatar;100000000
2015-12-31;BNP;impot courant;Qatar;-10000000
2015-12-31;BNP;impot sur bénéfice;Qatar;-10000000
2015-12-31;BNP;Effectif;Qatar;28
2015-12-31;BNP;resultats/effectifs;Qatar;3.57143e+06
2015-12-31;BNP;resultats/pnb;Qatar;0.588235
2015-12-31;BNP;Produit Net Bancaire;Sénégal;500000000
2015-12-31;BNP;Resultat avant impot;Sénégal;150000000
2015-12-31;BNP;impot courant;Sénégal;-40000000
2015-12-31;BNP;impot sur bénéfice;Sénégal;-40000000
2015-12-31;BNP;Effectif;Sénégal;443
2015-12-31;BNP;resultats/effectifs;Sénégal;338600
2015-12-31;BNP;resultats/pnb;Sénégal;0.3
2015-12-31;BNP;Produit Net Bancaire;Tunisie;740000000
2015-12-31;BNP;Resultat avant impot;Tunisie;140000000
2015-12-31;BNP;impot courant;Tunisie;-90000000
2015-12-31;BNP;impot différé;Tunisie;30000000
2015-12-31;BNP;impot sur bénéfice;Tunisie;-60000000
2015-12-31;BNP;Effectif;Tunisie;1230
