banque;date;pays;Effectif;impot courant;impot différé;Produit Net Bancaire;NB filiales périmètre en +;NB filiales CBCR;impot sur bénéfice;Resultat avant impot;resultats/effectifs;Total filiales;resultats/pnb
BPCE;2014-12-31;Autriche;106;;;260000000;;4;-20000000;-700000000;-6.60377e+06;4;-2.69231
BPCE;2014-12-31;Italie;274;;;1670000000;;6;-260000000;750000000;2.73723e+06;6;0.449102
BNP;2014-12-31;Japon;710;-440000000;10000000;3510000000;;8;-430000000;1450000000;2.04225e+06;8;0.413105
SG;2014-12-31;Monténégro;258;-10000000;;210000000;;1;-10000000;60000000;232558;1;0.285714
CM;2014-12-31;Espagne;1;-250000000;20000000;2360000000;;12;-230000000;1050000000;;12;
CM;2014-12-31;Hongrie;153;;;170000000;;1;;20000000;;1;
CA;2014-12-31;République Tchèque;96;-20000000;;160000000;;2;-20000000;-20000000;-208333;2;-0.125
CA;2014-12-31;Bulgarie;;;;;1;;;;;1;
CM;2014-12-31;Saint Martin (Antilles Néerlandaises);7;;;20000000;;1;;;;1;
SG;2014-12-31;Croatie;1459;-40000000;10000000;1380000000;;3;-30000000;320000000;219328;3;0.231884
BNP;2014-12-31;Pays-Bas;967;-400000000;60000000;3710000000;;37;-340000000;1390000000;1.43744e+06;37;0.374663
SG;2014-12-31;Iles Caïmans;;;;;;3;;;;3;
CA;2014-12-31;Pologne;5623;-380000000;120000000;4060000000;2;11;-260000000;860000000;152943;13;0.211823
BNP;2014-12-31;Pologne;9372;-250000000;-10000000;3770000000;;15;-260000000;950000000;101366;15;0.251989
BPCE;2014-12-31;Mexique;51;;;30000000;;3;10000000;-30000000;-588235;3;-1
BPCE;2014-12-31;Pologne;212;;;210000000;;5;-20000000;70000000;330189;5;0.333333
BNP;2014-12-31;Bermudes;;;;;;1;;;;1;
CM;2014-12-31;Bahamas;9;;;;3;;;;;3;
CA;2014-12-31;Maurice;181;;;30000000;;1;;;;1;
BNP;2014-12-31;Corée du Sud;343;-20000000;-30000000;870000000;;5;-50000000;160000000;466472;5;0.183908
SG;2014-12-31;Finlande;86;-70000000;-30000000;590000000;;2;-100000000;430000000;5000000;2;0.728814
BNP;2014-12-31;Algérie;1287;-190000000;30000000;1200000000;;2;-160000000;610000000;473970;2;0.508333
CA;2014-12-31;Suisse;1180;-260000000;-10000000;3700000000;4;5;-270000000;530000000;449153;9;0.143243
BPCE;2014-12-31;Maurice;277;;;160000000;;2;;20000000;72202.2;2;0.125
SG;2014-12-31;Suède;124;-30000000;-40000000;540000000;;4;-70000000;300000000;2.41935e+06;4;0.555556
SG;2014-12-31;Norvège;328;-70000000;-60000000;1290000000;;3;-130000000;610000000;1.85976e+06;3;0.472868
BNP;2014-12-31;Nouvelle-Zélande;36;;;50000000;;1;;10000000;277778;1;0.2
BPCE;2014-12-31;Iles Caïmans;;;;50000000;;2;;50000000;;2;1
SG;2014-12-31;Brésil;1182;-290000000;250000000;1950000000;;12;-40000000;-1670000000;-1.41286e+06;12;-0.85641
CA;2014-12-31;Uruguay;22;;;10000000;;1;;;;1;
SG;2014-12-31;Allemagne;3115;-290000000;-80000000;7440000000;;45;-370000000;1910000000;613162;45;0.25672
BPCE;2014-12-31;République Tchèque;7;;;20000000;;2;;10000000;1.42857e+06;2;0.5
CA;2014-12-31;Ukraine;2450;-10000000;-30000000;1250000000;;1;-40000000;40000000;16326.5;1;0.032
BNP;2014-12-31;Portugal;1586;-300000000;10000000;1570000000;;9;-290000000;930000000;586381;9;0.592357
SG;2014-12-31;Italie;1938;-700000000;320000000;6190000000;;13;-380000000;1140000000;588235;13;0.184168
BNP;2014-12-31;Ukraine;5900;;;1200000000;;2;;-1120000000;-189831;2;-0.933333
CA;2014-12-31;Madagascar;;;;;1;;;;;1;
CA;2014-12-31;Arabie Saoudite;;;;;1;;;;;1;
BPCE;2014-12-31;Cameroun;620;;;820000000;;1;-90000000;370000000;596774;1;0.45122
BPCE;2014-12-31;Bulgarie;8;;;10000000;;1;;10000000;1250000;1;1
BNP;2014-12-31;Chili;318;-10000000;-70000000;540000000;;4;-80000000;320000000;1.00629e+06;4;0.592593
SG;2014-12-31;Hong-Kong;1038;-310000000;30000000;6730000000;;12;-280000000;3420000000;3.2948e+06;12;0.508172
CM;2014-12-31;Italie;138;;;260000000;1;1;;-110000000;;2;
CA;2014-12-31;Irlande;161;-50000000;10000000;1320000000;2;28;-40000000;960000000;5.96273e+06;30;0.727273
BPCE;2014-12-31;Allemagne;715;;;1890000000;;12;-120000000;440000000;615385;12;0.232804
BPCE;2014-12-31;Luxembourg;272;;;1960000000;;21;-70000000;1150000000;4.22794e+06;21;0.586735
SG;2014-12-31;Guinée Équatoriale;289;-40000000;-10000000;270000000;;1;-50000000;120000000;415225;1;0.444444
CM;2014-12-31;République Tchèque;152;;;80000000;;1;;-10000000;;1;
BNP;2014-12-31;Chine;388;-370000000;-60000000;2580000000;;8;-430000000;1800000000;4.63918e+06;8;0.697674
BNP;2014-12-31;Irlande;174;-160000000;-20000000;1790000000;;20;-180000000;1470000000;8.44828e+06;20;0.821229
BNP;2014-12-31;Suède;154;;;240000000;;7;;10000000;64935.1;7;0.0416667
BPCE;2014-12-31;Argentine;51;;;50000000;;1;;20000000;392157;1;0.4
CA;2014-12-31;Albanie;237;;;80000000;;1;;-40000000;-168776;1;-0.5
CM;2014-12-31;Pays-Bas;;;;;;1;;;;1;
BPCE;2014-12-31;Japon;111;;;280000000;;5;;-60000000;-540541;5;-0.214286
BPCE;2014-12-31;Canada;38;;;130000000;;7;-20000000;90000000;2.36842e+06;7;0.692308
BPCE;2014-12-31;Hong-Kong;298;;;1240000000;;5;-10000000;250000000;838926;5;0.201613
SG;2014-12-31;Inde;3968;-190000000;10000000;610000000;;5;-180000000;560000000;141129;5;0.918033
CM;2014-12-31;Argentine;;;;;1;;;;;1;
BPCE;2014-12-31;Chili;42;;;40000000;;2;;;;2;
CA;2014-12-31;Suède;38;-20000000;;210000000;3;1;-20000000;80000000;2.10526e+06;4;0.380952
CA;2014-12-31;Finlande;11;-20000000;10000000;120000000;2;1;-10000000;90000000;8.18182e+06;3;0.75
CM;2014-12-31;Hong-Kong;;;;;;1;;;;1;
CM;2014-12-31;Tunisie;;;;;;2;;150000000;;2;
BPCE;2014-12-31;Malte;;;;10000000;;1;;10000000;;1;1
BNP;2014-12-31;Italie;18056;-3990000000;1960000000;48830000000;;41;-2030000000;4940000000;273593;41;0.101167
SG;2014-12-31;Roumanie;8250;-20000000;-100000000;5960000000;;7;-120000000;240000000;29090.9;7;0.0402685
CM;2014-12-31;Royaume-Uni;50;-90000000;10000000;430000000;1;6;-80000000;390000000;;7;
BPCE;2014-12-31;Chine;65;;;150000000;;2;-10000000;60000000;923077;2;0.4
BPCE;2014-12-31;Inde;7;;;;;2;;;;2;
