Pays;PNB (m€);résultat courant avant impôt;impôt courant;impôt différé;impôt sur bénéf ;Effectifs (ETP);Filiales CBCR;Filiales Périmètre en +;Total Filiales;Filiales;Activité;Mouvement de périmètre;Méthode
Afrique du Sud;55 ;3 ;-3 ;-1 ;-4 ;1258 ;7 ;0 ;7 ;BNP Paribas Cadiz Securities;Corporate and Investment Banking;Franchissement d'un des seuils tels que définis par le groupe (entrée);
Afrique du Sud;;;;;;;;;;BNP Paribas Cadiz Stockbroking;Corporate and Investment Banking;;
Afrique du Sud;;;;;;;;;;BNP Paribas SA (succ. Afrique du Sud);Corporate and Investment Banking;;
Afrique du Sud;;;;;;;;;;RCS Cards Proprietary Ltd;Personal Finance;Acquisition, prise de contrôle ou d'influence notable (entrée);
Afrique du Sud;;;;;;;;;;RCS Collections Proprietary Ltd;Personal Finance;Acquisition, prise de contrôle ou d'influence notable (entrée);
Afrique du Sud;;;;;;;;;;RCS Home Loans Proprietary Ltd;Personal Finance;Acquisition, prise de contrôle ou d'influence notable (entrée);
Afrique du Sud;;;;;;;;;;RCS Investment Holdings Ltd;Personal Finance;Acquisition, prise de contrôle ou d'influence notable (entrée);
Algérie;120 ;61 ;-19 ;3 ;-16 ;1287 ;2 ;0 ;2 ;BNP Paribas ElDjazair;Europe Méditerranée;;
Algérie;;;;;;;;;;Cetelem Algérie;Personal Finance;;
Allemagne;1114 ;297 ;-91 ;-19 ;-110 ;4163 ;28 ;0 ;28 ;Arval Deutschland GmbH;Arval;;
Allemagne;;;;;;;;;;Cardif Assurance Vie (succ. Allemagne);Assurance;;
Allemagne;;;;;;;;;;Cardif Assurances Risques Divers (succ. Allemagne);Assurance;;
Allemagne;;;;;;;;;;BGL BNP Paribas (succ. Allemagne);Banque de détail;;
Allemagne;;;;;;;;;;BNP Paribas Factor GmbH;Banque de détail;;
Allemagne;;;;;;;;;;BNP Paribas Emission und Handel. GmbH;Corporate and Investment Banking;;
Allemagne;;;;;;;;;;BNP Paribas Fortis (succ. Allemagne);Corporate and Investment Banking;;
Allemagne;;;;;;;;;;BNP Paribas SA (succ. Allemagne);Corporate and Investment Banking;;
Allemagne;;;;;;;;;;BNP Paribas Investment Partners Belgium (succ. Allemagne);Investment Partners;;
Allemagne;;;;;;;;;;All in One Vermietungsgesellschaft für Telekommunicationsanlagen mbH;Leasing solutions;;
Allemagne;;;;;;;;;;BNP Paribas Lease Group BPLG (succ. Allemagne);Leasing Solutions;;
Allemagne;;;;;;;;;;Claas Financial Services (succ. Allemagne);Leasing solutions;;
Allemagne;;;;;;;;;;CNH Industrial Capital Europe (succ. Allemagne);Leasing solutions;;
Allemagne;;;;;;;;;;Fortis Lease Deutschland GmbH;Leasing solutions;;
Allemagne;;;;;;;;;;JCB Finance (succ. Allemagne);Leasing solutions;;
