Pays;PNB (en m€);résultat courant avant impôt;impôt courant ;impôt différé;impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales Périmètre en +;Total Filiales ;Filiales;Activités;Méthode de consolidation
Afrique du Sud;4 ;0 ;;;0 ;66 ;2 ;0 ;2 ;Coface South Africa;Insurance;
Afrique du Sud;;;;;;;;;;Coface South Africa Services;insurance;
Algérie;69 ;40 ;;;-9 ;693 ;1 ;0 ;1 ;Natixis Algérie;Bank;
Allemagne;189 ;44 ;;;-12 ;715 ;12 ;0 ;12 ;Coface Debitoren;Credit information and debt recovery;
Allemagne;;;;;;;;;;Cofacerating holding;Credit information and debt recovery;
Allemagne;;;;;;;;;;Cofacerating.de;Credit information and debt recovery;
Allemagne;;;;;;;;;;Coface Deutschland;Credit insurance and related services;
Allemagne;;;;;;;;;;AEW Europe Frankreich;Distribution;
Allemagne;;;;;;;;;;Natixis Global associates Germany;Distribution;
Allemagne;;;;;;;;;;NGAM SA Zweignierderlassung Deutschland;Distribution;
Allemagne;;;;;;;;;;Coface Finanz;Factoring;
Allemagne;;;;;;;;;;Natixis Francfort;Finance company;
Allemagne;;;;;;;;;;Coface Deutschland Vertrieb Gmbh;Financial reporting;
Allemagne;;;;;;;;;;Kisselberg;Insurance;
Allemagne;;;;;;;;;;Natixis Pfandbriefbank AG;Real Estate Financing;
Argentine;5 ;2 ;;;0 ;51 ;1 ;0 ;1 ;Coface Argentina (Coface SA Branch);insurance;
Australie;8 ;1 ;;;-1 ;18 ;3 ;0 ;3 ;Natixis Australia (PTY Ltd);Finance company;
Australie;;;;;;;;;;Natixis Global Associates Australia Holdings, LLC;Holding company;
Australie;;;;;;;;;;Coface Australia (Coface SA Branch);Insurance;
Autriche;26 ;-70 ;;;-2 ;106 ;4 ;0 ;4 ;VBI Beteiligungs GMBH;Bank;Mise en équivalence
Autriche;;;;;;;;;;Coface Services Austria;Credit information and debt recovery;
Autriche;;;;;;;;;;Coface Austria;Holding company;
Autriche;;;;;;;;;;Coface Central Europe Holding;Holding company;
Belgique;21 ;15 ;;;-1 ;72 ;10 ;0 ;10 ;Coface Belgium Services Holding;Commercial and solvency information;
Belgique;;;;;;;;;;Aurora;Holding company;Mise en équivalence
Belgique;;;;;;;;;;Coface Belgium (Coface SA branch);Insurance;
Belgique;;;;;;;;;;Edf investment Groupe;Investment company;
Belgique;;;;;;;;;;Natixis Belgique Investissements;Investment company;
Belgique;;;;;;;;;;Kompass Belgique;Marketing and other services;
Belgique;;;;;;;;;;EPBF;Payment institution;
Belgique;;;;;;;;;;Coopest;private Equity;Mise en équivalence
Belgique;;;;;;;;;;IRR Invest;private Equity;
Belgique;;;;;;;;;;NJR Invest;private Equity;
Brésil;20 ;11 ;;;-2 ;83 ;3 ;0 ;3 ;Coface do Brasil seguros de credito;Credit insurance and related services;
Brésil;;;;;;;;;;Seguro brasileira C.E;Credit insurance and related services;
Brésil;;;;;;;;;;Natixis Brasil SA;Finance company;
Bulgarie;1 ;1 ;;;0 ;8 ;1 ;0 ;1 ;Coface Bulgaria (Branch);insurance;
Cambodge;0 ;7 ;;;0 ;0 ;1 ;0 ;1 ;Acleda;Bank;Mise en équivalence
Cameroun;82 ;37 ;;;-9 ;620 ;1 ;0 ;1 ;Bicec;Bank;
Canada;13 ;9 ;;;-2 ;38 ;7 ;0 ;7 ;Nexgen Financial Corporation;Asset Management;
Canada;;;;;;;;;;Nexgen Financial Limited partnership;Asset Management;
Canada;;;;;;;;;;Nexgen investment Corporation;Asset Management;
Canada;;;;;;;;;;Nexgen Limited;Asset Management;
Canada;;;;;;;;;;Nexgen Ontario Inc;Asset Management;
Canada;;;;;;;;;;Coface Canada (Coface SA branch);Insurance;
Canada;;;;;;;;;;Trez Commercial Finances LP;Mortgage loans;
Chili;4 ;0 ;;;0 ;42 ;2 ;0 ;2 ;Coface Chile S.A;Insurance;
Chili;;;;;;;;;;Coface Chile (Coface SA branch);Insurance;
Chine;15 ;6 ;;;-1 ;65 ;2 ;0 ;2 ;Natixis Shangaï;Finance company;
Chine;;;;;;;;;;BRD China Ltd;Private Equity;
Congo;21 ;8 ;;;-3 ;224 ;1 ;0 ;1 ;BCI BQ Commerciale Internationale;Bank;
Danemark;17 ;1 ;;;-1 ;79 ;2 ;0 ;2 ;Midt facroting A/S;Factoring;
Danemark;;;;;;;;;;Coface Danmark (Coface Credit Branch);insurance;
Djibouti;20 ;3 ;;;-1 ;277 ;1 ;0 ;1 ;BCI Mer rouge;Bank;
Émirats Arabes Unis;10 ;1 ;;;0 ;40 ;2 ;0 ;2 ;NGAM Middle East;Distribution;
Émirats Arabes Unis;;;;;;;;;;Natixis Dubaï;Finance company;
Equateur;3 ;2 ;;;-1 ;20 ;1 ;0 ;1 ;Coface Ecuador (Coface SA Branch);Insurance;
Espagne;139 ;93 ;;;-24 ;263 ;5 ;0 ;5 ;Coface Servicios Espana S.L.;Credit information and debt recovery;
Espagne;;;;;;;;;;NGAM Sucursal en Espana;Distribution;
Espagne;;;;;;;;;;Natixis Madrid;Finance company;
Espagne;;;;;;;;;;Coface iberica (Coface SA branch);Insurance;
Espagne;;;;;;;;;;Natixis Lease Madrid;Real estate and non real estate Leasing;
États-Unis;2110 ;695 ;;;-227 ;2816 ;90 ;0 ;90 ;AEW Capital Management, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Capital management, LP;Asset Management;
États-Unis;;;;;;;;;;AEW II Corporation;Asset Management;
États-Unis;;;;;;;;;;AEW Partners III, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Partners IV, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Partners V, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Partners VI, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Partners VII, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Real Estate Advisors, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Senior Housing Investors, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Value Investors Asia II GP Limited;Asset Management;
États-Unis;;;;;;;;;;AEW Via Investors, Ltd;Asset Management;
États-Unis;;;;;;;;;;AEW VIF II Investors, Inc;Asset Management;
États-Unis;;;;;;;;;;AEW Vif Investors, Inc;Asset Management;
États-Unis;;;;;;;;;;Alphasimplex Group LLC;Asset Management;
États-Unis;;;;;;;;;;Alternative Strategies Group LLC;Asset Management;
États-Unis;;;;;;;;;;Aurora Horizon Funds;Asset Management;
États-Unis;;;;;;;;;;Aurora investment management LLC;Asset Management;
États-Unis;;;;;;;;;;Bleachers Finance;Securitization vehicle;
États-Unis;;;;;;;;;;Capital Growth Management, LP;Asset Management;
États-Unis;;;;;;;;;;Caspian Growth management, LLC;Asset Management;
Etats-Unis;;;;;;;;;;CM Reo Holdings Trust;Secondary market financing;
Etats-Unis;;;;;;;;;;CM Reo Trust;Secondary market financing;
Etats-Unis;;;;;;;;;;Coface Collection North America;Credit information and debt recovery;
Etats-Unis;;;;;;;;;;Coface Collection North America LLC;Credit information and debt recovery;
Etats-Unis;;;;;;;;;;Coface North America;Credit insurance and related services;
Etats-Unis;;;;;;;;;;Coface North America Holding Company;Holding company;
Etats-Unis;;;;;;;;;;Coface North America Insurance Company;Credit insurance and related services;
Etats-Unis;;;;;;;;;;Coface Services North America Group;Holding company;
Etats-Unis;;;;;;;;;;Conduit Versailles;Securitization vehicle;
États-Unis;;;;;;;;;;CREA Western Investors I, Inc;Asset Management;
États-Unis;;;;;;;;;;Darius Capital partners USA;Financial investment advisory services;
États-Unis;;;;;;;;;;EPI SLP LLC;Asset Management;
