Pays;PNB (en m€);résultat courant avant impôt;impôt courant;impôt différé;autres taxes;Impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales Périmètre +;Total Filiales;filiales;Activités;% Contrôle 2014;% Contrôle 2013;
Allemagne;937;30;-4;6;-57;2;6960;12;0;12;BECM Franckfort (succursale de BECM);Banque de Détail;100;;
Allemagne;;;;;;;;;;;Banque fédérative du Crédit Mutuel Franckfort (succursale de BFCM);Banque de financement et activité de marché;100;;
Allemagne;;;;;;;;;;;CM Akquisitions;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;CM-CIC Leasing GmbH;Banque de Détail;100;;
Allemagne;;;;;;;;;;;Targobank AG & CO. KgaA;Banque de Détail;100;;
Allemagne;;;;;;;;;;;Targo Akademie GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Deutschland GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Dienstleistungs GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Finanzberatung GmbH;Banque de Détail;100;;
Allemagne;;;;;;;;;;;Targo IT Consulting GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Management AG;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Realty Services GmbH;Autres Sociétés;100;;
Argentine;0;0;0;0;0;0;0;0;1;1;Cofidis Argentine;Banque de Détail;0;Cession hors groupe;Cession p.212
Bahamas;0;0;0;0;0;0;9;0;3;3;LRM Advisor SA;Banque de financement et activité de marché;0;Dissolution;
Bahamas;;;;;;;;;;;Pasche Bank & Trust Ltd Nassau;Banque de financement et activité de marché;0;Cession hors groupe;Cession p.212
Bahamas;;;;;;;;;;;Serficom Family Office Inc.;Banque de financement et activité de marché;0;Cession hors groupe;Cession p.212
Belgique;420;132;-7;-8;-47;-15;1741;15;1;16;Cofisun;Autres Sociétés;100;;
Belgique;;;;;;;;;;;immo W16;Autres Sociétés;100;;
Belgique;;;;;;;;;;;Béobank (ex Citibank Belgique);Banque de Détail;100;;
