Pays;ProduitNetBancaire;Resultatavantimpot;impotcourant;impotdiffere;impotsurlesbenefices;Effectif
AfriqueduSud;92;7;-2;0;-2;14
Albanie;395;1;-1;0;-1;24
Algérie;1427;81;-21;2;-19;146
Allemagne;3119;135;-62;29;-33;711
Australie;25;-4;0;-1;-1;12
Autriche;59;3;-1;0;-1;10
Bahamas;49;4;0;0;0;18
Belgique;483;67;-8;-4;-12;149
Bénin;232;3;0;6;6;22
Bermudes;0;17;0;0;0;17
Brésil;338;-27;-16;-15;-31;156
Bulgarie;1505;43;-5;1;-4;112
BurkinaFaso;266;5;-1;2;1;26
Cameroun;626;31;-10;-3;-13;80
Canada;92;19;-4;-3;-7;53
Chine;515;-13;0;7;7;82
Chypre;0;1;0;0;0;1
CoréeduSud;125;58;-8;-2;-10;128
Côted'Ivoire;1134;46;-9;-4;-13;124
Croatie;1422;21;-4;1;-3;169
Curaçao;0;1;0;0;0;1
Danemark;158;43;4;-14;-10;69
ÉmiratsArabesUnis;51;-11;0;0;0;3
Espagne;627;163;-79;25;-54;374
Estonie;;1;;;;
États-Unis;2357;470;3;-258;-255;1710
Finlande;112;46;-7;-2;-9;65
France;51612;1653;-196;-384;-580;12097
Géorgie;972;22;-2;0;-2;49
Ghana;661;16;-5;0;-5;68
Gibraltar;51;3;0;0;0;19
Grèce;37;1;0;1;1;4
Guinée;289;15;-7;1;-6;37
Guinéeéquatoriale;292;14;-5;0;-5;31
HongKong;1071;335;-45;-14;-59;767
Hongrie;;5;;;;
ÎleGuernesey;0;0;0;0;0;0
îlesCaïmans;0;0;0;0;0;0
Inde;4605;76;-32;-2;-34;71
Irlande;46;39;0;;;9
Italie;1975;168;-64;12;-52;663
Japon;308;158;-31;-14;-45;292
Jersey;249;22;-2;0;-2;69
Lettonie;;1;;;;
Liban;;20;;;;
Lituanie;;1;;;;
Luxembourg;1570;587;-101;7;-94;855
Macédoine;376;8;-1;0;-1;23
Madagascar;805;29;-6;0;-6;54
Malte;0;0;0;0;0;0
Maroc;3767;95;-46;9;-37;421
Maurice;;0;;;;
Mexique;99;3;0;-1;-1;10
Moldavie;;29;12;-3;9;729
Républiquede;;;;;;
Monaco;361;59;-20;0;0;149
Monténégro;269;7;-1;0;-2;25
Norvège;333;64;2;-10;0;125
NouvelleCalédonie;303;41;-18;-1;0;78
PaysBas;176;132;-28;-1;0;156
Pologne;3063;27;-4;-3;-15;206
Polynésiefrançaise;288;3;-3;1;-1;46
Portugal;91;10;-2;-1;0;16
Républiquetchèque;8567;593;-91;-7;-33;1142
Roumanie;8405;144;-6;-15;-25;595
Royaume-Uni;3344;392;-57;-1;-223;1618
Russie;741;-105;-15;16;16005
Sénégal;786;3;-2;-12;-1;71
Serbie;1302;28;0;-1;-6;98
Singapour;280;57;0;0;0;146
Slovaquie;55;25;-5;-2;0;38
Slovénie;848;55;-4;-3;-2;108
Suède;138;29;-12;6;-1;54
Suisse;752;-5;-5;6;-10;232
Taïwan;34;7;-1;0;0;18
Tchad;214;8;-2;-1;-2;23
Thaïlande;;0;0;0;0;0
Togo;23;-1;0;0;0;1
Tunisie;1249;42;-13;-4;-1;102
Turquie;107;-4;0;2;-2;11
Ukraine;;6;;;;
