Pays ;PNB en m€;résultat courant avant impôt;impôt courant ;impôt différé;impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales périmètre en +;Total Filiales;Filiales;Activités;Mouvement de périmètre
Afrique du Sud;11 ;6 ;-2 ;0 ;-2 ;80 ;1;0;1;SG Johannesburg;Bank;
Albanie;21 ;5 ;0 ;0 ;0 ;400 ;1;0;1;Banka Société Générale Albania SH.A.;Bank;
Algérie;134 ;63 ;-15 ;-3 ;-18 ;1412 ;2;0;2;ALD Automotive Algérie SPA;Specialist Financing;
Algérie;;;;;;;;;;Société Générale Algérie;Bank;
Allemagne;744 ;191 ;-29 ;-8 ;-37 ;3115 ;45;0;45;Akrun eins grundstucks-vermietungsgesellschaft MBH & Co. Objekt seren 1KG;Real estate and real estate financing;
Allemagne;;;;;;;;;;ALD Autoleasing D gmbh;Specialist Financing;company carrying out sub-consolidation
Allemagne;;;;;;;;;;Ald international group holdings gmbh ;Specialist Financing;
Allemagne;;;;;;;;;;Ald international Sas & Co. KG;Specialist Financing;company carrying out sub-consolidation
Allemagne;;;;;;;;;;Ald lease finanz gmbh;Specialist Financing;company carrying out sub-consolidation
Allemagne;;;;;;;;;;Bank deutsches kraftfahrhzeuggewerbe gmbh;Specialist Financing;
Allemagne;;;;;;;;;;Bdk leasing und service Gmbh;Specialist Financing;
Allemagne;;;;;;;;;;Car professional fuhrparkmanagement und beratungsgesellschaft mbh & Co. KG;Specialist Financing;
Allemagne;;;;;;;;;;Carpool gmbh;Broker;
Allemagne;;;;;;;;;;EFS SA branch Hambourg;Financial company;
Allemagne;;;;;;;;;;Europarc Dreilinden Gmbh;Group real estate management company;
Allemagne;;;;;;;;;;Europarc gmbh;Group real estate management company;
Allemagne;;;;;;;;;;Europarc kerpen gmbh;Group real estate management company;
Allemagne;;;;;;;;;;Gefa gesellschaft fur absatzfinanzierung mbh;Specialist Financing;company carrying out sub-consolidation
Allemagne;;;;;;;;;;Gefa leasing gmbh;Specialist Financing;
Allemagne;;;;;;;;;;Gefa versicherungsdienst gmbh;Insurance;
Allemagne;;;;;;;;;;Hanseatic bank gmbh & Co KG;Specialist Financing;company carrying out sub-consolidation
Allemagne;;;;;;;;;;Hanseatic gesellschaft fur bankbeteiligungen mbh;Portfolio management;
Allemagne;;;;;;;;;;Hsce hanseatic service center Gmbh;Services;
Allemagne;;;;;;;;;;IFVB institut fur vermogensbildung Gmbh;Services;
Allemagne;;;;;;;;;;Interleasing dello Hamburg gmbh;Specialist Financing;
Allemagne;;;;;;;;;;Milaha Qatar gmbh & Co. KG;Financial company;
Allemagne;;;;;;;;;;Milaha ras laffan gmbh & Co. KG;Financial company;
Allemagne;;;;;;;;;;Namendo Gmbh;Services;
Allemagne;;;;;;;;;;Onvista;Financial company;
Allemagne;;;;;;;;;;Onvista bank;Broker;
Allemagne;;;;;;;;;;Onvista beteiligung holding gmbh;Services;
Allemagne;;;;;;;;;;Onvista media gmbh;Services;
Allemagne;;;;;;;;;;Pema gmbh;Specialist Financing;company carrying out sub-consolidation
Allemagne;;;;;;;;;;Podes drei grundstucks - Vermietungsgesellschaft mbh & Co objekte wel 4 KG;Real estate and real estate financing;
Allemagne;;;;;;;;;;Podes grundstucks - Vermietungsgesellschaft mbh & Co objekte wel 3 KG;Real estate and real estate financing;
Allemagne;;;;;;;;;;Podes zwei grundstucks - Vermietungsgesellschaft mbh & Co objekte wel 3 KG;Real estate and real estate financing;
Allemagne;;;;;;;;;;Red & black auto germany 1 UG (Haftungsbeschrankt);Financial company;
Allemagne;;;;;;;;;;Red & black auto germany 2 UG (Haftungsbeschrankt);Financial company;
Allemagne;;;;;;;;;;Red & black car sales 1 UG;Financial company;
Allemagne;;;;;;;;;;Red & black TME Germany 1 UG;Financial company;
Allemagne;;;;;;;;;;SG effekten;Financial company;
Allemagne;;;;;;;;;;SG equipment finance international gmbh;Financial company;company carrying out sub-consolidation
Allemagne;;;;;;;;;;SG equipment finance SA & Co KG;Financial company;
Allemagne;;;;;;;;;;SG Francfort;Bank;
Allemagne;;;;;;;;;;SGSS Deutschland Kapitalangegesellschaft mbh;Specialist Financing;
Allemagne;;;;;;;;;;Sogecap Deutsche niederlassung;Insurance;
Allemagne;;;;;;;;;;Sogessur Deutsche niederlassung;Insurance;
Allemagne;;;;;;;;;;Toast media Gmbh;Services;
Allemagne;;;;;;;;;;Trade & get Gmbh;Services;
Australie;9 ;-2 ;0 ;1 ;1 ;26 ;1;0;1;Newedge Australia PTY Ltd;Broker;
Autriche;11 ;4 ;-1 ;0 ;-1 ;54 ;3;0;3;ALD automotive fuhrparkmanagement und leasing gmbh;Specialist Financing;
Autriche;;;;;;;;;;SG Equipment Leasing Austria gmbh;Specialist Financing;
Autriche;;;;;;;;;;SG Vienne;Bank;
Bahamas;15 ;4 ;0 ;0 ;0 ;44 ;1;0;1;SG private banking (Bahamas) Ltd;Bank;
Belgique;193 ;102 ;-15 ;0 ;-15 ;471 ;8;0;8;Axus SA/NV;Specialist Financing;
Belgique;;;;;;;;;;Bastion european investments SA;Financial company;
Belgique;;;;;;;;;;Milford;Specialist Financing;
Belgique;;;;;;;;;;Pema truck trailer verhuur;Specialist Financing;
Belgique;;;;;;;;;;SG Bruxelles;Bank;
Belgique;;;;;;;;;;SG Equipment finance Benelux B.V. Belgian Branch;Specialist Financing;
Belgique;;;;;;;;;;Société Générale Immobel;Financial company;
Belgique;;;;;;;;;;Société Générale private banking NV/SA;Bank;
Bénin;19 ;1 ;0 ;1 ;1 ;218 ;1;0;1;Société Générale Bénin;Bank;
Bermudes;12 ;12 ;0 ;0 ;0 ;0 ;2;0;2;Catalyst Re international Ltd;Insurance;
Bermudes;;;;;;;;;;Catalyst RE Ltd;Insurance;
Brésil;195 ;-167 ;-29 ;25 ;-4 ;1182 ;12;0;12;ALD Automotive SA;Specialist Financing;
Brésil;;;;;;;;;;Banco cacique SA;Bank;company carrying out sub-consolidation
Brésil;;;;;;;;;;Banco pecunia SA;Bank;company carrying out sub-consolidation
Brésil;;;;;;;;;;Banco Société Générale Brasil SA;Bank;company carrying out sub-consolidation
Brésil;;;;;;;;;;Cacique promotora de vendas Ltda;Specialist Financing;
Brésil;;;;;;;;;;Cobracred cobranca especializada ltda;Financial company;
Brésil;;;;;;;;;;Credial empreendimentos e servicios Ltda;Specialist Financing;
Brésil;;;;;;;;;;Mordeno sociedades anonimas;Financial company;
Brésil;;;;;;;;;;Newedge representacoes Ltda (newedge Brazil);Broker;
Brésil;;;;;;;;;;SG Equipment finance SA Arredamento mercantil;Specialist Financing;
Brésil;;;;;;;;;;SG SD fundo de investimento multimercado - Investimento no exterior;Financial company;
Brésil;;;;;;;;;;Société Générale SA  corretora de cambio, titulos e valores mobiliarios;Broker;
Bulgarie;93 ;35 ;-3 ;0 ;-3 ;1506 ;4;0;4;Regional urban development fund;Specialist Financing;
Bulgarie;;;;;;;;;;SG express bank;Bank;company carrying out sub-consolidation
Bulgarie;;;;;;;;;;Société Générale factoring;Specialist Financing;
Bulgarie;;;;;;;;;;Sogelease Bulgaria;Specialist Financing;
Burkina Faso;29 ;9 ;-1 ;0 ;-1 ;246 ;1;0;1;Société Générale Burkina Faso;Bank;
Cameroun;72 ;19 ;-9 ;0 ;-9 ;625 ;1;0;1;Société Générale  Cameroun;Bank;
Canada;49 ;12 ;-6 ;1 ;-5 ;108 ;5;1;6;SG Constellation Canada Ltd;Specialist Financing;
Canada;;;;;;;;;;SG Hambros trust company (Canada) Inc;Financial company;
Canada;;;;;;;;;;SGE Holdings Inc;Financial company;entité déconsolidée en 2014
Canada;;;;;;;;;;Société Générale (Canada branch);Bank;
Canada;;;;;;;;;;Société Générale (Canada);Bank;
Canada;;;;;;;;;;Société Générale capital Canada Inc;Broker;
Chine;84 ;12 ;0 ;1 ;1 ;537 ;4;0;4;Ald fortune auto leasing & renting Shanghaï co. Ltd;Specialist Financing;
Chine;;;;;;;;;;Fortune SG Fund management Co. Ltd;Financial company;changement dans le seuil de consolidation du à l'application retrospective de IFRS10 + changement dans la méthode de consolidation
Chine;;;;;;;;;;Société Générale (China) Limited;Bank;
Chine;;;;;;;;;;Société Générale leasing and renting Co. Ltd;Specialist Financing;
Chypre;1 ;1 ;0 ;0 ;0 ;0 ;1;0;1;VPRG Limited;Group real estate management company;
Corée du Sud;117 ;39 ;-9 ;2 ;-7 ;136 ;4;0;4;Newedge financial Hong-Kong Ltd (Seoul branch);Broker;
Corée du Sud;;;;;;;;;;SG. Sec. (HK) Ltd, Seoul branch;Broker;
Corée du Sud;;;;;;;;;;SG securities Koreal Co Ltd;Broker;
Corée du Sud;;;;;;;;;;SG Seoul;Broker;
Côte d'Ivoire;111 ;48 ;-10 ;1 ;-9 ;1147 ;2;0;2;SG de banques en Côte d'Ivoire;Bank;company carrying out sub-consolidation
Côte d'Ivoire;;;;;;;;;;Sogebourse en Côte d'Ivoire;Portfolio management;
Croatie;138 ;32 ;-4 ;1 ;-3 ;1459 ;3;0;3;ALD Automotive D.O.O. ZA. operativni i financijski leasing;Specialist Financing;
Croatie;;;;;;;;;;SG leasing D.O.O;Specialist Financing;
Croatie;;;;;;;;;;Société Générale - Splitska banka D.D;Bank;
