Pays;ProduitNetBancaire;Resultatavantimpot;impotcourant;impotdiffere;impotsurlesbenefices;Effectif
Allemagne;1356;423;-70;-39;-109;4496
Autriche;40;-3;-2;2;0;181
Belgique;4742;1710;-86;-473;-559;16283
Bulgarie;52;15;-2;0;-2;1080
Danemark;59;15;-5;0;-5;151
Espagne;818;461;-73;-59;-132;2479
Finlande;5;-3;0;0;0;30
France;14305;1945;-766;-412;-1178;56981
Grece;3;0;0;0;0;24
Hongrie;98;35;-8;-1;-9;507
Irlande;290;164;-13;-2;-15;470
Italie;4950;719;-326;89;-237;17973
Luxembourg;1208;665;-118;7;-111;3609
Pays-Bas;371;151;-50;-13;-63;988
Pologne;642;15;-15;8;-7;8725
Portugal;158;76;-22;3;-19;1749
Republiquetcheque;128;70;-13;0;-13;629
Roumanie;51;13;-3;0;-3;703
Royaume-Uni;2501;248;-95;33;-62;6624
Slovaquie;28;9;-4;2;-2;170
Suede;17;-3;0;-1;-1;153
Guernesey;7;0;0;0;0;15
Jersey;49;22;0;0;0;221
Monaco;63;23;0;1;1;201
Norvege;27;-1;-2;1;-1;87
Russie;83;38;-7;-3;-10;351
Serbie;48;19;-2;0;-2;845
Suisse;523;42;-47;54;7;1385
Ukraine;131;-18;0;0;0;5433
AfriqueduSud;128;30;-18;9;-9;1180
Algerie;123;52;-12;-1;-13;1382
ArabieSaoudite;15;-8;1;0;1;37
Bahrein;75;48;0;0;0;351
BurkinaFaso;21;5;-1;0;-1;280
Coted'Ivoire;60;17;-3;0;-3;569
EmiratsArabesUnis;35;9;4;-1;3;83
Koweit;8;7;-1;0;-1;23
Mali;14;4;-1;0;-1;102
Maroc;302;58;-23;-2;-25;3158
Qatar;17;10;-1;0;-1;28
Senegal;50;15;-4;0;-4;443
Tunisie;74;14;-9;3;-6;1230
Turquie;1242;356;-81;2;-79;10645
Argentine;112;68;-21;-4;-25;242
Bresil;682;225;-102;38;-64;1394
IlesCayman;39;134;0;0;0;0
Canada;53;19;-10;3;-7;336
Chili;58;29;-1;-6;-7;350
Colombie;21;-1;-2;-1;-3;256
Etats-Unis;4454;1067;-264;-92;-356;15544
Mexique;19;3;0;0;0;201
Panama;0;0;0;0;0;0
Australie;138;-4;-6;6;0;470
Chine;207;113;-4;-19;-23;404
RepubliquedeCoree;97;13;-2;-2;-4;352
HongKong;674;-10;0;-4;-4;2382
Inde;171;125;-52;4;-48;4109
Indonesie;44;22;-9;1;-8;135
Japon;457;232;-50;-38;-88;701
Malaisie;17;4;0;0;0;80
Philippines;2;1;0;0;0;13
Singapour;610;210;-21;1;-20;2002
Taiwan;138;68;-1;-3;-4;409
Thailande;15;1;-2;0;-2;68
VietNam;13;4;-3;2;-1;49;
