Pays;ProduitNetBancaire;Resultatavantimpot;impotcourant;impotdiffere;impotsurlesbenefices;Effectif
Allemagne;213;87;;;-30;713
Autriche;26;10;;;-3;103
Belgique;22;8;;;-3;61
Bulgarie;1;1;;;0;9
Danemark;11;0;;;-1;79
Espagne;160;72;;;-19;276
France;19118;4877;;;-1760;91232
GrandeBretagne;452;257;;;-47;586
Hongrie;1;0;;;0;34
Irlande;5;2;;;1;9
Italie;171;107;;;-26;289
Lettonie;0;0;;;0;9
Lituanie;2;1;;;0;15
Luxembourg;208;129;;;-18;259
Pays-Bas;26;13;;;-3;76
Pologne;35;23;;;-4;238
Portugal;31;5;;;-1;151
R_publiqueTcheque;2;1;;;0;7
Roumanie;7;3;;;0;92
Slovaquie;1;0;;;0;8
Suede;3;0;;;0;13
Jersey;-1;-1;;;0;0
Monaco;12;3;;;-1;41
Russie;20;12;;;-1;65
Suisse;34;6;;;-2;94
AfriqueduSud;5;0;;;0;59
Alg_rie;67;23;;;-6;754
Cameroun;85;30;;;-14;780
Congo;23;8;;;-4;220
Djibouti;25;-10;;;2;263
ÄmiratsArabesUnis;10;2;;;0;56
ile Maurice;16;2;;;0;275
Israel;12;2;;;-1;101
Madagascar;30;17;;;-3;395
Maroc;-4;-16;;;0;4
Tunisie;39;4;;;-2;489
Turquie;3;-4;;;0;50
Argentine;4;0;;;0;47
Bresil;8;2;;;0;97
Canada;6;-4;;;2;40
Chili;8;3;;;0;41
Equateur;1;-1;;;0;23
Etats-Unis;2548;841;;;-343;2796
Iles Caimans;2;2;;;0;0
Mexique;0;-4;;;-3;52
Uruguay;0;0;;;0;1
Australie;18;7;;;0;27
Chine;15;-12;;;3;66
Fidji;4;-2;;;0;95
HongKong;113;3;;;-5;306
Inde;0;0;;;0;4
Japon;41;6;;;-4;125
Laos;7;1;;;0;165
Malaisie;1;1;;;0;5
Nouvelle-Cal_donie;71;30;;;-14;341
Polynesie Francaise;58;20;;;-8;296
Singapour;75;29;;;-4;181
Taiwan;2;1;;;0;20
Thailande;0;0;;;0;83
Vanuatu;11;5;;;0;118
Vietnam;2;2;;;0;53
Polynesie francaise;288;3;-3;1;-1;46
Portugal;91;10;-2;-1;0;16
Republique tcheque;8567;593;-91;-7;-33;1142
Roumanie;8405;144;-6;-15;-25;595
Royaume-Uni;3344;392;-57;-1;-223;1618
Russie f_d_ration;741;-105;-15;16;16005
Senegal;786;3;-2;-12;-1;71
Serbie;1302;28;0;-1;-6;98
Singapour;280;57;0;0;0;146
Slovaquie;55;25;-5;-2;0;38
Slov_nie;848;55;-4;-3;-2;108
Suede;138;29;-12;6;-1;54
Suisse;752;-5;-5;6;-10;232
Taiwan;34;7;-1;0;0;18
Tchad;214;8;-2;-1;-2;23
Thailande;;0;0;0;0;0
Togo;23;-1;0;0;0;1
Tunisie;1249;42;-13;-4;-1;102
Turquie;107;-4;0;2;-2;11
Ukraine;;6;;;;
