Pays;ProduitNetBancaire;Resultatavantimpot;impotcourant;impotdiffere;impotsurlesbenefices;Effectif
France;9021;797;-371;158;-213;37559
Allemagne;356;115;-46;;;1183
Autriche;15;5;-2;1;-1;42
Belgique;48;22;-6;-1;-7;106
Espagne;169;76;-27;4;-23;236
Finlande;10;5;-1;;;12
Grece;9;-24;1;;;82
Irlande;198;172;-4;;;162
Italie;2790;692;-290;23;-267;10348
Luxembourg;643;378;-69;-13;-82;1280
Pays-Bas;121;31;-25;-2;-27;344
Pologne;408;72;-12;-10;-22;5444
Portugal;107;59;-32;15;-17;438
RepubliqueTcheque;16;7;-2;;;87
Roumanie;9;-4;;;;269
Royaume-Uni;648;137;-36;-9;-45;870
Slovaquie;1;;;;;7
Suede;23;8;-3;2;-1;40
Monaco;139;56;-3;;;422
Russie;32;17;-4;;;158
Serbie;32;2;;-1;;864
Suisse;396;-408;-20;2;-18;1165
Ukraine;114;19;-4;;;2312
Guernesey;1;;;;;
Canada;;;;;;64
Etats-Unis;1000;464;-1;16;15;799
Bermudes;-1;;;;;
Bresil;51;16;-15;9;-6;131
IlesCaimans;38;38;;;;
Algerie;8;6;-1;;;25
Egypte;256;144;-37;1;-36;2328
EmiratsArabesUnis;54;34;-1;;;87
Maroc;191;12;-6;1;-5;2530
Maurice;3;;;;;106
Australie;73;61;-14;-2;-16;30
Chine;48;24;-7;-1;-8;131
CoreeduSud;25;1;-1;1;0;75
HongKong;199;21;-4;;;633
Inde;44;;-15;8;-7;135
Malaisie;6;3;-1;;;21
Singapour;174;53;-6;;;460
Taiwan;26;11;-4;2;-2;66
Vietnam;;5;;;;
Japon;230;105;-14;-19;-33;444
