Pays;ProduitNetBancaire;Resultatavantimpot;impotcourant;impotdiffere;impotsurlesbenefices;Effectif
AfriqueduSud;14;7;-2;0;-2;92
Albanie;24;1;-1;0;-1;395
Algerie;146;81;-23;2;-21;1427
Allemagne;711;135;-91;29;-62;3119
Australie;12;-4;1;-1;0;25
Autriche;10;3;-1;0;-1;59
Bahamas;18;4;0;0;0;49
Belgique;149;67;-4;-4;-8;483
B_nin;22;3;-6;6;0;232
Bermudes;17;17;0;0;0;0
Br_sil;156;-27;-1;-15;-16;338
Bulgarie;112;43;-6;1;-5;1505
BurkinaFaso;26;5;-3;2;-1;266
Cameroun;80;31;-7;-3;-10;626
Canada;53;19;-1;-3;-4;92
Chine;82;-13;-7;7;0;515
Chypre;1;1;0;0;0;0
Cor_eduSud;128;58;-6;-2;-8;125
Cote d'Ivoire;124;46;-5;-4;-9;1134
Croatie;169;21;-5;1;-4;1422
Curacao-2;1;1;0;0;0;0
Danemark;69;43;18;-14;4;158
Emirats Arabes-Unis;3;-11;0;0;0;51
Espagne;374;163;-104;25;-79;627
Estonie;;1;;;;
Etats-Unis d'Amerique;1710;470;261;-258;3;2357
Finlande;65;46;-5;-2;-7;112
France;12097;1653;188;-384;-196;51612
G_orgie;49;22;-2;0;-2;972
Ghana;68;16;-5;0;-5;661
Gibraltar;19;3;0;0;0;51
Grece;4;1;-1;1;0;37
Guinee;37;15;-8;1;-7;289
Guinee equatoriale;31;14;-5;0;-5;292
HongKong;767;335;-31;-14;-45;1071
Hongrie;;5;;;;
ile Guernesey;0;0;0;0;0;0
IlesCaimans-3;0;0;0;0;0;0
Inde;71;76;-30;-2;-32;4605
Irlande;9;39;;;0;46
Italie;663;168;-76;12;-64;1975
Japon;292;158;-17;-14;-31;308
Jersey;69;22;-2;0;-2;249
Lettonie;;1;;;;
Liban;;20;;;;
Lituanie;;1;;;;
Luxembourg;855;587;-108;7;-101;1570
Mac_doine;23;8;-1;0;-1;376
Madagascar;54;29;-6;0;-6;805
Malte;0;0;0;0;0;0
Maroc;421;95;-55;9;-46;3767
Maurice;;0;;;;
Mexique;10;3;1;-1;0;99
Moldavie;729;29;15;-3;12;
R_publiquede;;;;;;
Monaco;361;59;-20;0;0;149
Mont_n_gro;269;7;-1;0;-2;25
Norvege;333;64;2;-10;0;125
NouvelleCal_donie;303;41;-18;-1;0;78
PaysBas;176;132;-28;-1;0;156
Pologne;3063;27;-4;-3;-15;206
Polyn_siefrancaise;288;3;-3;1;-1;46
Portugal;91;10;-2;-1;0;16
R_publiquetcueque;8567;593;-91;-7;-33;1142
Roumanie;8405;144;-6;-15;-25;595
Royaume-Uni;3344;392;-57;-1;-223;1618
Russie f_d_ration;741;-105;-15;16;16005
S_n_gal;786;3;-2;-12;-1;71
Serbie;1302;28;0;-1;-6;98
Singapour;280;57;0;0;0;146
Slovaquie;55;25;-5;-2;0;38
Slov_nie;848;55;-4;-3;-2;108
Suede;138;29;-12;6;-1;54
Suisse;752;-5;-5;6;-10;232
Taiwan;34;7;-1;0;0;18
Tchad;214;8;-2;-1;-2;23
Thailande;;0;0;0;0;0
Togo;23;-1;0;0;0;1
Tunisie;1249;42;-13;-4;-1;102
Turquie;107;-4;0;2;-2;11
Ukraine;;6;;;;
